group_name	nce	contrast_angle
Unmodified	32.666901	0.831031
TMT6plex	34.999999	0.617527
Acetyl	31.454834	0.849288
TMT6plex	34.999999	0.635036
mixed	34.300226	0.894419
Unmodified	32.230073	0.883167
Unmodified	32.276490	0.905142
Acetyl	34.999999	0.912395
Methyl	34.999999	0.549752
TMT6plex	33.104539	0.733413
TMT6plex	32.625145	0.899810
Oxidation	33.714414	0.836550
Unmodified	32.091641	0.725441
TMT6plex	34.126613	0.894580
Unmodified	32.109469	0.841174
Unmodified	34.999999	0.955193
TMT6plex	32.832357	0.857869
Phospho	34.999999	0.850745
HexNAc	34.999999	0.742563
Unmodified	32.100698	0.746462
TMT6plex	31.869948	0.874392
Unmodified	32.665592	0.915332
Phospho	32.374927	0.920621
TMT6plex	33.913684	0.932683
Unmodified	33.719745	0.900195
Unmodified	32.954213	0.941555
GlyGly (Ub)	34.999999	0.937810
Unmodified	31.540909	0.945781
TMT6plex	32.655537	0.762565
Unmodified	32.920787	0.742019
TMT6plex	31.600237	0.661118
Unmodified	29.845625	0.423725
Unmodified	32.374290	0.924185
Oxidation	33.590549	0.925008
GlyGly (Ub)	32.852507	0.849082
Unmodified	31.537813	0.830781
Unmodified	33.052808	0.765442
TMT6plex	31.131035	0.720351
mixed	34.999999	0.707154
TMT6plex	33.315670	0.904190
TMT6plex	34.999999	0.603592
Oxidation	31.115133	0.914781
TMT6plex	32.091117	0.784800
Unmodified	34.077975	0.718263
TMT6plex	32.164741	0.796142
Unmodified	33.061081	0.951706
Oxidation	34.999999	0.624018
mixed	33.070040	0.844619
Unmodified	33.719745	0.838424
mixed	34.206864	0.821705
Unmodified	34.999999	0.672871
Unmodified	32.205659	0.918328
TMT6plex	33.064735	0.191628
mixed	34.999999	0.475442
Unmodified	34.999999	0.699126
mixed	34.999999	0.746207
Phospho	34.999999	0.762385
Unmodified	34.999999	0.385933
Unmodified	34.999999	0.961094
TMT6plex	34.999999	0.366890
TMT6plex	34.001338	0.754645
Unmodified	33.242273	0.873976
Unmodified	32.324731	0.856117
Acetyl	31.533626	0.941468
TMT6plex	32.705411	0.808042
Phospho	34.999999	0.749860
Unmodified	31.853884	0.966131
TMT6plex	33.765158	0.404529
Unmodified	34.999999	0.453792
TMT6plex	34.999999	0.725693
Unmodified	32.136777	0.938501
Unmodified	34.999999	0.744349
Unmodified	32.058528	0.966301
mixed	33.239231	0.938387
mixed	31.805050	0.655819
TMT6plex	31.993547	0.925659
Unmodified	32.507518	0.934869
TMT6plex	34.999999	0.703889
Oxidation	33.273026	0.835040
Acetyl	31.090894	0.865960
mixed	34.999999	0.325056
HexNAc	34.999999	0.385328
Oxidation	32.926366	0.845160
TMT6plex	34.766105	0.811202
Unmodified	32.246190	0.798983
Unmodified	32.530025	0.863358
Phospho	36.904255	0.820392
Unmodified	32.243189	0.936335
TMT6plex	32.303205	0.375101
TMT6plex	32.466337	0.751908
Unmodified	34.999999	0.952235
Acetyl	34.999999	0.735919
Oxidation	31.952336	0.885616
